"UI label","Full setting path","Scope","UI type","Backend type","Canonical backend field","Persistent file/store","Apply phase","Android support","Validation method","Current value","Default","Variants","Min","Max"
"Texture LOD Bias Addend","Video@@Texture LOD Bias Addend","Global + per-game","float","float","Video@@Texture LOD Bias Addend","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","-32.000000","32.000000"
"Minimum Scalable Dimension","Video@@Minimum Scalable Dimension","Global + per-game","int","int","Video@@Minimum Scalable Dimension","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","16","16","","1","1024"
"Shader Compiler Threads","Video@@Shader Compiler Threads","Global + per-game","int","int","Video@@Shader Compiler Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","16"
"Driver Recovery Timeout","Video@@Driver Recovery Timeout","Global + per-game","int","int","Video@@Driver Recovery Timeout","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","1000000","1000000","","0","30000000"
"Driver Wake-Up Delay","Video@@Driver Wake-Up Delay","Global + per-game","uint","uint","Video@@Driver Wake-Up Delay","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","16667"
"Vblank Rate","Video@@Vblank Rate","Global + per-game","int","int","Video@@Vblank Rate","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","60","60","","1","6000"
"Vblank NTSC Fixup","Video@@Vblank NTSC Fixup","Global + per-game","bool","bool","Video@@Vblank NTSC Fixup","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"DECR memory layout","Video@@DECR memory layout","Global + per-game","bool","bool","Video@@DECR memory layout","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Allow Host GPU Labels","Video@@Allow Host GPU Labels","Global + per-game","bool","bool","Video@@Allow Host GPU Labels","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Disable MSL Fast Math","Video@@Disable MSL Fast Math","Global + per-game","bool","bool","Video@@Disable MSL Fast Math","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Disable Asynchronous Memory Manager","Video@@Disable Asynchronous Memory Manager","Global + per-game","bool","bool","Video@@Disable Asynchronous Memory Manager","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Output Scaling Mode","Video@@Output Scaling Mode","Global + per-game","enum","enum","Video@@Output Scaling Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Bilinear","Bilinear","Nearest|Bilinear|FidelityFX Super Resolution","",""
"Adapter","Video@@Vulkan@@Adapter","Global + per-game","hidden","string","Video@@Vulkan@@Adapter","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","","","","",""
"Force FIFO present mode","Video@@Vulkan@@Force FIFO present mode","Global + per-game","bool","bool","Video@@Vulkan@@Force FIFO present mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Force primitive restart flag","Video@@Vulkan@@Force primitive restart flag","Global + per-game","bool","bool","Video@@Vulkan@@Force primitive restart flag","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Exclusive Fullscreen Mode","Video@@Vulkan@@Exclusive Fullscreen Mode","Global + per-game","enum","enum","Video@@Vulkan@@Exclusive Fullscreen Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Automatic","Automatic","Automatic|Disable|Enable","",""
"Asynchronous Texture Streaming 2","Video@@Vulkan@@Asynchronous Texture Streaming 2","Global + per-game","bool","bool","Video@@Vulkan@@Asynchronous Texture Streaming 2","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"FidelityFX CAS Sharpening Intensity","Video@@Vulkan@@FidelityFX CAS Sharpening Intensity","Global + per-game","uint","uint","Video@@Vulkan@@FidelityFX CAS Sharpening Intensity","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","50","50","","0","100"
"Asynchronous Queue Scheduler","Video@@Vulkan@@Asynchronous Queue Scheduler","Global + per-game","enum","enum","Video@@Vulkan@@Asynchronous Queue Scheduler","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Safe","Safe","Safe|Fast","",""
"VRAM allocation limit (MB)","Video@@Vulkan@@VRAM allocation limit (MB)","Global + per-game","uint","uint","Video@@Vulkan@@VRAM allocation limit (MB)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","65536","65536","","256","65536"
"Path","Video@@Vulkan@@Custom Driver@@Path","Global + per-game","hidden","string","Video@@Vulkan@@Custom Driver@@Path","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","","","","",""
"Internal Data Directory","Video@@Vulkan@@Custom Driver@@Internal Data Directory","Global + per-game","hidden","string","Video@@Vulkan@@Custom Driver@@Internal Data Directory","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","","","","",""
