"UI label","Full setting path","Scope","UI type","Backend type","Canonical backend field","Persistent file/store","Apply phase","Android support","Validation method","Current value","Default","Variants","Min","Max"
"PPU Decoder","Core@@PPU Decoder","Global + per-game","enum","enum","Core@@PPU Decoder","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","LLVM Recompiler (Legacy)","LLVM Recompiler (Legacy)","Interpreter (Legacy)|LLVM Recompiler (Legacy)|Interpreter","",""
"PPU Threads","Core@@PPU Threads","Global + per-game","int","int","Core@@PPU Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","2","2","","1","8"
"PPU Debug","Core@@PPU Debug","Global + per-game","bool","bool","Core@@PPU Debug","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"PPU Calling History","Core@@PPU Calling History","Global + per-game","bool","bool","Core@@PPU Calling History","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"PPU LLVM Codegen Mode","Core@@PPU LLVM Codegen Mode","Global + per-game","enum","enum","Core@@PPU LLVM Codegen Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Aggressive","Aggressive","Less|Default|Aggressive","",""
"Save LLVM logs","Core@@Save LLVM logs","Global + per-game","bool","bool","Core@@Save LLVM logs","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Use LLVM CPU","Core@@Use LLVM CPU","Global + per-game","hidden","string","Core@@Use LLVM CPU","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","cortex-a34","","","",""
"Max LLVM Compile Threads","Core@@Max LLVM Compile Threads","Global + per-game","int","int","Core@@Max LLVM Compile Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","16"
"PPU Foreground Compile Threads","Core@@PPU Foreground Compile Threads","Global + per-game","int","int","Core@@PPU Foreground Compile Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","32"
"PPU LLVM Greedy Mode","Core@@PPU LLVM Greedy Mode","Global + per-game","bool","bool","Core@@PPU LLVM Greedy Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"LLVM Precompilation","Core@@LLVM Precompilation","Global + per-game","bool","bool","Core@@LLVM Precompilation","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Thread Scheduler Mode","Core@@Thread Scheduler Mode","Global + per-game","enum","enum","Core@@Thread Scheduler Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Operating System","Operating System","Operating System|RPCS3 Scheduler|RPCS3 Alternative Scheduler","",""
"Set DAZ and FTZ","Core@@Set DAZ and FTZ","Global + per-game","bool","bool","Core@@Set DAZ and FTZ","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"SPU Decoder","Core@@SPU Decoder","Global + per-game","enum","enum","Core@@SPU Decoder","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Recompiler (LLVM)","Recompiler (LLVM)","Interpreter (static)|Interpreter (dynamic)|Recompiler (ASMJIT)|Recompiler (LLVM)","",""
"SPU Reservation Busy Waiting Percentage","Core@@SPU Reservation Busy Waiting Percentage","Global + per-game","uint","uint","Core@@SPU Reservation Busy Waiting Percentage","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","100"
"SPU GETLLAR Busy Waiting Percentage","Core@@SPU GETLLAR Busy Waiting Percentage","Global + per-game","uint","uint","Core@@SPU GETLLAR Busy Waiting Percentage","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","100","100","","0","100"
"Disable SPU GETLLAR Spin Optimization","Core@@Disable SPU GETLLAR Spin Optimization","Global + per-game","bool","bool","Core@@Disable SPU GETLLAR Spin Optimization","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"SPU Debug","Core@@SPU Debug","Global + per-game","bool","bool","Core@@SPU Debug","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"MFC Debug","Core@@MFC Debug","Global + per-game","bool","bool","Core@@MFC Debug","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Preferred SPU Threads","Core@@Preferred SPU Threads","Global + per-game","int","int","Core@@Preferred SPU Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","6"
"SPU delay penalty","Core@@SPU delay penalty","Global + per-game","int","int","Core@@SPU delay penalty","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","3","3","","0","16"
"SPU loop detection","Core@@SPU loop detection","Global + per-game","bool","bool","Core@@SPU loop detection","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Max SPURS Threads","Core@@Max SPURS Threads","Global + per-game","int","int","Core@@Max SPURS Threads","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","6","6","","1","6"
"SPU Block Size","Core@@SPU Block Size","Global + per-game","enum","enum","Core@@SPU Block Size","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Safe","Safe","Safe|Mega|Giga","",""
"Accurate SPU DMA","Core@@Accurate SPU DMA","Global + per-game","bool","bool","Core@@Accurate SPU DMA","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Accurate SPU Reservations","Core@@Accurate SPU Reservations","Global + per-game","bool","bool","Core@@Accurate SPU Reservations","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Accurate Cache Line Stores","Core@@Accurate Cache Line Stores","Global + per-game","bool","bool","Core@@Accurate Cache Line Stores","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Accurate RSX reservation access","Core@@Accurate RSX reservation access","Global + per-game","bool","bool","Core@@Accurate RSX reservation access","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"CPU0","Core@@Affinity@@CPU0","Global + per-game","enum","enum","Core@@Affinity@@CPU0","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","General","General","General|PPU|SPU|RSX","",""
"CPU1","Core@@Affinity@@CPU1","Global + per-game","enum","enum","Core@@Affinity@@CPU1","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","General","General","General|PPU|SPU|RSX","",""
"CPU2","Core@@Affinity@@CPU2","Global + per-game","enum","enum","Core@@Affinity@@CPU2","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","General","General","General|PPU|SPU|RSX","",""
"CPU3","Core@@Affinity@@CPU3","Global + per-game","enum","enum","Core@@Affinity@@CPU3","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","General","General","General|PPU|SPU|RSX","",""
"CPU4","Core@@Affinity@@CPU4","Global + per-game","enum","enum","Core@@Affinity@@CPU4","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","General","General","General|PPU|SPU|RSX","",""
"CPU5","Core@@Affinity@@CPU5","Global + per-game","enum","enum","Core@@Affinity@@CPU5","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","General","General","General|PPU|SPU|RSX","",""
"CPU6","Core@@Affinity@@CPU6","Global + per-game","enum","enum","Core@@Affinity@@CPU6","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","General","General","General|PPU|SPU|RSX","",""
"CPU7","Core@@Affinity@@CPU7","Global + per-game","enum","enum","Core@@Affinity@@CPU7","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","General","General","General|PPU|SPU|RSX","",""
"RSX FIFO Accuracy","Core@@RSX FIFO Accuracy","Global + per-game","enum","enum","Core@@RSX FIFO Accuracy","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Fast","Fast","Fast|Atomic|Ordered & Atomic|PS3","",""
"SPU Verification","Core@@SPU Verification","Global + per-game","bool","bool","Core@@SPU Verification","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"SPU Cache","Core@@SPU Cache","Global + per-game","bool","bool","Core@@SPU Cache","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"SPU Profiler","Core@@SPU Profiler","Global + per-game","bool","bool","Core@@SPU Profiler","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"MFC Commands Shuffling Limit","Core@@MFC Commands Shuffling Limit","Global + per-game","uint","uint","Core@@MFC Commands Shuffling Limit","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","16"
"MFC Commands Timeout","Core@@MFC Commands Timeout","Global + per-game","uint","uint","Core@@MFC Commands Timeout","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","10000"
"MFC Commands Shuffling In Steps","Core@@MFC Commands Shuffling In Steps","Global + per-game","bool","bool","Core@@MFC Commands Shuffling In Steps","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Enable TSX","Core@@Enable TSX","Global + per-game","enum","enum","Core@@Enable TSX","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Disabled","Disabled","Disabled|Enabled|Forced","",""
"XFloat Accuracy","Core@@XFloat Accuracy","Global + per-game","enum","enum","Core@@XFloat Accuracy","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Approximate","Approximate","Accurate|Approximate|Relaxed|Inaccurate","",""
"Accurate PPU 128-byte Reservation Op Max Length","Core@@Accurate PPU 128-byte Reservation Op Max Length","Global + per-game","int","int","Core@@Accurate PPU 128-byte Reservation Op Max Length","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","-1","14"
"Stub PPU Traps","Core@@Stub PPU Traps","Global + per-game","int","int","Core@@Stub PPU Traps","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","-64","64"
"Precise SPU Verification","Core@@Precise SPU Verification","Global + per-game","bool","bool","Core@@Precise SPU Verification","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"PPU LLVM Java Mode Handling","Core@@PPU LLVM Java Mode Handling","Global + per-game","bool","bool","Core@@PPU LLVM Java Mode Handling","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Use Accurate DFMA","Core@@Use Accurate DFMA","Global + per-game","bool","bool","Core@@Use Accurate DFMA","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"PPU Set Saturation Bit","Core@@PPU Set Saturation Bit","Global + per-game","bool","bool","Core@@PPU Set Saturation Bit","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"PPU Accurate Non-Java Mode","Core@@PPU Accurate Non-Java Mode","Global + per-game","bool","bool","Core@@PPU Accurate Non-Java Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"PPU Fixup Vector NaN Values","Core@@PPU Fixup Vector NaN Values","Global + per-game","bool","bool","Core@@PPU Fixup Vector NaN Values","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"PPU Accurate Vector NaN Values","Core@@PPU Accurate Vector NaN Values","Global + per-game","bool","bool","Core@@PPU Accurate Vector NaN Values","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"PPU Set FPCC Bits","Core@@PPU Set FPCC Bits","Global + per-game","bool","bool","Core@@PPU Set FPCC Bits","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Debug Console Mode","Core@@Debug Console Mode","Global + per-game","bool","bool","Core@@Debug Console Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Hook static functions","Core@@Hook static functions","Global + per-game","bool","bool","Core@@Hook static functions","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Libraries Control","Core@@Libraries Control","Global + per-game","hidden","set","Core@@Libraries Control","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","[]","null","","",""
"HLE lwmutex","Core@@HLE lwmutex","Global + per-game","bool","bool","Core@@HLE lwmutex","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"SPU LLVM Lower Bound","Core@@SPU LLVM Lower Bound","Global + per-game","uint","uint","Core@@SPU LLVM Lower Bound","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","18446744073709551615"
"SPU LLVM Upper Bound","Core@@SPU LLVM Upper Bound","Global + per-game","uint","uint","Core@@SPU LLVM Upper Bound","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","18446744073709551615","18446744073709551615","","0","18446744073709551615"
"TSX Transaction First Limit","Core@@TSX Transaction First Limit","Global + per-game","uint","uint","Core@@TSX Transaction First Limit","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","800","800","","0","18446744073709551615"
"TSX Transaction Second Limit","Core@@TSX Transaction Second Limit","Global + per-game","uint","uint","Core@@TSX Transaction Second Limit","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","2000","2000","","0","18446744073709551615"
"Clocks scale","Core@@Clocks scale","Global + per-game","int","int","Core@@Clocks scale","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","100","100","","10","3000"
"SPU Wake-Up Delay","Core@@SPU Wake-Up Delay","Global + per-game","uint","uint","Core@@SPU Wake-Up Delay","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","3000"
"SPU Wake-Up Delay Thread Mask","Core@@SPU Wake-Up Delay Thread Mask","Global + per-game","uint","uint","Core@@SPU Wake-Up Delay Thread Mask","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","63","63","","0","63"
"Max CPU Preempt Count","Core@@Max CPU Preempt Count","Global + per-game","uint","uint","Core@@Max CPU Preempt Count","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","400"
"Allow RSX CPU Preemptions","Core@@Allow RSX CPU Preemptions","Global + per-game","bool","bool","Core@@Allow RSX CPU Preemptions","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Sleep Timers Accuracy","Core@@Sleep Timers Accuracy","Global + per-game","enum","enum","Core@@Sleep Timers Accuracy","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","As Host","As Host","As Host|Usleep Only|All Timers","",""
"Usleep Time Addend","Core@@Usleep Time Addend","Global + per-game","int","int","Core@@Usleep Time Addend","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","-1000","1500"
"Performance Report Threshold","Core@@Performance Report Threshold","Global + per-game","uint","uint","Core@@Performance Report Threshold","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","500","500","","0","18446744073709551615"
"Enable Performance Report","Core@@Enable Performance Report","Global + per-game","bool","bool","Core@@Enable Performance Report","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Assume External Debugger","Core@@Assume External Debugger","Global + per-game","bool","bool","Core@@Assume External Debugger","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Enable /host_root/","VFS@@Enable /host_root/","Global + per-game","bool","bool","VFS@@Enable /host_root/","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Initialize Directories","VFS@@Initialize Directories","Global + per-game","bool","bool","VFS@@Initialize Directories","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Limit disk cache size","VFS@@Limit disk cache size","Global + per-game","bool","bool","VFS@@Limit disk cache size","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Disk cache maximum size (MB)","VFS@@Disk cache maximum size (MB)","Global + per-game","int","int","VFS@@Disk cache maximum size (MB)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","5120","5120","","0","10240"
"Empty /dev_hdd0/tmp/","VFS@@Empty /dev_hdd0/tmp/","Global + per-game","bool","bool","VFS@@Empty /dev_hdd0/tmp/","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Renderer","Video@@Renderer","Global + per-game","enum","enum","Video@@Renderer","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Vulkan","Vulkan","Null|OpenGL|Vulkan","",""
