09-02 22:29:08.565 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: analyzing... percent=0 max=100 session=S3-1788367015251-6524
09-02 22:29:10.972 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 0 of 32)
09-02 22:29:10.972 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 0 of 32 percent=0 max=100 session=S3-1788367015251-6524
09-02 22:29:17.201 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 1 of 32 (4m remaining))
09-02 22:29:17.202 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 1 of 32 (4m remaining) percent=3 max=100 session=S3-1788367015251-6524
09-02 22:29:23.149 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 2 of 32 (3m remaining))
09-02 22:29:23.151 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 2 of 32 (3m remaining) percent=6 max=100 session=S3-1788367015251-6524
09-02 22:29:29.299 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 3 of 32 (3m remaining))
09-02 22:29:29.303 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 3 of 32 (3m remaining) percent=9 max=100 session=S3-1788367015251-6524
09-02 22:29:35.070 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 4 of 32 (3m remaining))
09-02 22:29:35.072 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 4 of 32 (3m remaining) percent=12 max=100 session=S3-1788367015251-6524
09-02 22:29:41.130 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 5 of 32 (2m remaining))
09-02 22:29:41.131 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 5 of 32 (2m remaining) percent=15 max=100 session=S3-1788367015251-6524
09-02 22:29:46.499 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 6 of 32 (2m remaining))
09-02 22:29:46.500 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 6 of 32 (2m remaining) percent=18 max=100 session=S3-1788367015251-6524
